127.0.0.1 - - [11/Mar/2023:16:26:39 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:07 +0530] "GET /CRM-PROJECT-NEW/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:08 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:08 +0530] "GET /CRM-PROJECT-NEW/resources/css/add-customer-style.css HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:08 +0530] "GET /CRM-PROJECT-NEW/resources/css/style.css HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:08 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:23 +0530] "GET /CRM-PROJECT-NEW/customer/form HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:49 +0530] "POST /CRM-PROJECT-NEW/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:27:49 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:04 +0530] "GET /CRM-PROJECT-NEW/customer/showFormForUpdate?customerId=100 HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:28 +0530] "POST /CRM-PROJECT-NEW/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:28 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 4500
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:41 +0530] "GET /CRM-PROJECT-NEW/customer/delete?customerId=101 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:41 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 4105
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:49 +0530] "GET /CRM-PROJECT-NEW/customer/delete?customerId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:49 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:51 +0530] "GET /CRM-PROJECT-NEW/customer/form HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:53 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:54 +0530] "GET /CRM-PROJECT-NEW/customer/form HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:58 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:28:59 +0530] "GET /CRM-PROJECT-NEW/customer/form HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:29:02 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:29:09 +0530] "GET /CRM-PROJECT-NEW/customer/form HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:29:10 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:30:50 +0530] "GET /CRM-PROJECT-NEW/customer/delete?customerId=109 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:30:50 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:30:59 +0530] "GET /CRM-PROJECT-NEW/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:16:30:59 +0530] "GET /CRM-PROJECT-NEW/customer/list HTTP/1.1" 200 3312
